,pub_T0,sub_T0,pub_T1,sub_T1,pub_T2,sub_T2
3pub-3sub,10.0,10.0,10.0,11.0,17.0,22.0
3pub-5sub,9.666666666666666,9.666666666666666,11.0,12.0,17.0,23.0
3pub-7sub,10.0,10.0,11.0,12.0,18.0,23.0
3pub-9sub,9.666666666666666,10.0,10.0,11.0,17.0,23.0
3pub-11sub,8.666666666666666,9.333333333333334,9.0,10.0,12.0,16.0
5pub-3sub,9.0,9.0,10.0,11.0,15.0,20.0
5pub-5sub,9.0,9.0,10.0,11.0,20.0,24.0
5pub-7sub,9.0,9.0,10.0,11.0,22.0,26.0
5pub-9sub,9.0,9.0,10.0,11.0,16.0,21.0
5pub-11sub,7.666666666666667,8.0,13.0,14.0,17.0,21.0
7pub-3sub,8.333333333333334,8.333333333333334,11.0,12.0,15.0,20.0
7pub-5sub,8.333333333333334,8.666666666666666,11.0,12.0,16.0,21.0
7pub-7sub,8.666666666666666,8.666666666666666,10.0,10.0,25.0,29.0
7pub-9sub,8.333333333333334,8.333333333333334,11.0,11.0,33.0,37.0
7pub-11sub,7.0,7.333333333333333,18.0,19.0,22.0,26.0
9pub-3sub,8.0,8.333333333333334,9.0,10.0,24.0,28.0
9pub-5sub,8.333333333333334,8.333333333333334,13.0,14.0,21.0,27.0
9pub-7sub,8.333333333333334,8.333333333333334,10.0,11.0,29.0,32.0
9pub-9sub,8.333333333333334,8.666666666666666,10.0,11.0,28.0,32.0
9pub-11sub,7.0,7.666666666666667,21.0,22.0,25.0,29.0
11pub-3sub,6.666666666666667,7.0,21.0,22.0,20.0,23.0
11pub-5sub,7.0,7.333333333333333,19.0,19.0,25.0,29.0
11pub-7sub,7.0,7.333333333333333,20.0,21.0,27.0,30.0
11pub-9sub,7.0,7.333333333333333,18.0,19.0,23.0,27.0
11pub-11sub,7.0,7.666666666666667,18.0,19.0,25.0,29.0
